feature_raw,feature_clean,feature_revised,revision,feature_domain,extra_domain/component,feature_component,feature_english,comments
beenbeweging,beenbeweging,benen + beweging,MULT,Motor + Motor,+ Motion (c),,,
begroeting,begroeting,,,Other,,,,
beheersd,beheerst,,,Motor/Cognition,,,,
behulpzaam,behulpzaam,,,,,,,
bel,bel,,,Other,Object,,,
beneden,beneden,naar beneden,SYN,Spatial,,,,
benen,benen,,,Motor,,,,
bereiden,bereiden,,,,,,,verb response
berg,berg,,,Spatial,Location (c),,,
berg of heuvel op,berg of heuvel op,berg + heuvel + naar boven,SYN; MULT,Spatial + Spatial + Spatial,Location (c) + Location (c) + Spatial,,,
bergen,bergen,berg,SYN,Spatial,Location (c),,,
berghelling,berghelling,berg,SYN,Spatial,Location (c),,,
bergschoenen,bergschoenen,,,Other,Object,,,association?
bespieden,bespieden,,,,,,,verb response
bestemming,bestemming,,,Spatial,Destination (c),,,
bevrijding,bevrijding,,,,,,,
bewegen,bewegen,,,,,,,verb response
bewegen op de maat,bewegen op de maat,bewegen + op de maat,MULT,+ Temporal,Tempo (c),,,
beweging,beweging,actie,,Motor,,,,
bewust omlaag gaan,bewust omlaag gaan,bewust + naar beneden,MULT,Cognition + Spatial,,,,
bezoek,bezoek,,,,,,,
bijl,bijl,,,Other,Object,,,
binnen,binnen,,,Spatial,,,,
binnen gaan,binnen gaan,binnen + gaan,MULT,Spatial + ,,,,verb response
binnengelaten willen worden,binnengelaten willen worden,binnen + vragen,SYN; MULT,Spatial + ,,,,verb response
binnenkomen,binnenkomen,binnen + gaan,SYN; MULT,Spatial + ,,,,verb response
blessure,blessure,,,Somatic,,,,
blijdschap,blijdschap,,,Emotion,,,,
bloed,bloed,,,Somatic,,,,
blokje om,blokje om,,,Spatial,,,,association?
bocht,bocht,,,Spatial,,,,
boef,boef,dief,SYN,Other,Person-Profession,,,
bonk geluid,bonk geluid,,,Audition,,,,
boog,boog,,,Spatial,,Path,,
boom,boom,,,Other,Object,,,
boomstammen,boomstammen,boom,,Other,Object,,,
boomtak,boomtak,boom,,Other,Object,,,
bos,bos,,,Spatial,,,,
boter,boter,,,Other,Object,,,
bouwen,bouwen,,,,,,,verb response
brandweer,brandweer,,,Other,Person-Profession,,,
breken,breken,,,,,,,verb response
brutaal,brutaal,,,Cognition/Social,,,,
buiten,buiten,,,Spatial,,,,
bus halen,bus halen,bus + halen,MULT,,,,,association?; verb response
cardio,cardio,,,Temporal/Somatic,,,,
chaotisch,chaotisch,,,Other,State,,,
checken,checken,,,,,,,verb response
chirurg,chirurg,,,Other,Person-Profession,,,
cilinder,cilinder,,,Other,Object,,,
conditie,conditie,,,Somatic,State (c),,,
constante snelheid,constante snelheid,,,Temporal,Tempo (c),,,
correct,correct,,,Other,State,,,
correct zijn,correct zijn,correct,SYN,Other,State,,,
dagelijks,dagelijks,,,Temporal,,,,
dans,dans,,,Motor,Motion (c),,,
dansen,dansen,,,,,,,verb response
dansvloer,dansvloer,,,Other/Spatial,Object/Location (c),,,
de hoogte in,de hoogte in,naar boven,SYN,Spatial,,,,
de weg kwijt,de weg kwijt,verdwaald,SYN,Drive,Lacking (c),,,
de weg zoeken,de weg zoeken,verdwaald,SYN,Drive,Lacking (c),,,
delen,delen,,,,,,,verb response?
deur,deur,,,Other,Object,,,
deur huis,deur huis,deur + huis,MULT,Other + Spatial,Object + Location (c),,,
dichtbij,dichtbij,,,Spatial,,,,
dief,dief,,,Other,Person-Profession,,,
digitaal met word,digitaal met word,,,Other,,,,
dingen vergeten,dingen vergeten,,,,,,,verb response
direct en indirect,direct en indirect,direct + indirect,MULT,Other,,,,
dit,dit,geen,N/A,N/A,,N/A,N/A,"participant entered words for the sentence ""I don't know what this means"" in separate feature boxes"
dit woord ken ik niet,dit woord ken ik niet,geen,N/A,N/A,,N/A,N/A,
doel,doel,doelbewust,SYN,Drive,,,,
doelbewust,doelbewust,,,Drive,,,,
doelloos,doelloos,,,Drive,Lacking (c),,,
doelloos rondlopen,doelloos rondlopen,doelloos + rondlopen,MULT,Drive + ,Lacking (c) + ,,,verb response
doolhof,doolhof,,,Spatial,Location (c),,,
door de mens,door de mens,door mens,SYN,Other,Person-Profession,,,
door de natuur,door de natuur,,,Spatial,,,,
door een klok,door een klok,,,Other,Object,,,
door etenswaren,door etenswaren,voedsel,SYN,Other,Object,,,
door mens,door mens,,,Other,Person-Profession,,,
door mens/dier,door mens/dier,door mens + door dier,MULT,Other,Person-Profession,,,
door mensen,door mensen,door mens,SYN,Other,Person-Profession,,,
door mensen/apen,door mensen/apen,door mens + door aap,MULT,Other + Other,Person-Profession + Animal,,,
door waterplassen,door waterplassen,,,Spatial/Other,Location (c)/Object (c),,,
doorgaan,doorgaan,,,,,,,verb response
doormidden,doormidden,,,Other,State,,,
dragen,dragen,,,,,,,verb response
dringend,dringend,,SYN,Drive,,,,
dronken,dronken,,,Other/Somatic,State/State (c),,,
druk,druk,,SYN,,,,,semantically ambiguous!
drukte maken,drukte maken,,,Social/Motor,,,,verb response
duo,duo,,,Other,Person-Profession,,,
duwen,duwen,,,,,,,verb response
dwalen,dwalen,,,,,,,verb response
echt,echt,geen,N/A,N/A,,N/A,N/A,"participant entered words for the sentence ""I don't know what this means"" in separate feature boxes"
een belemmering,een belemmering,,,Spatial/Drive,Obstacle (c),,,
een berg,een berg,berg,SYN,Spatial,Location (c),,,
een doel hebben,een doel hebben,doelbewust,SYN,Drive,,,,
een koude windvlaag,een koude windvlaag,koude + windvlaag,MULT,Somatic + Other,+ Object,,,association?
een stel,een stel,duo,SYN,Other,Person-Profession,,,
een trap,een trap,trap,SYN,Other/Spatial,Object/Location (c),,,
eerste hulp,eerste hulp,,,Other,,,,association?
eieren,eieren,,,Other,Object,,,
er tussenuit sneaken,er tussenuit sneaken,tussendoor + geheim,SYN; MULT,Spatial + Cognition,,,,
ergens aan hangen,ergens aan hangen,ergens + hangen,SYN; MULT,Spatial +,,,,verb response
ergens iets uithalen,ergens iets uithalen,ergens + iets uithalen,MULT,Spatial +,,,,verb response
ergens naartoe,ergens naartoe,,,Spatial,Destination (c),,,
ergens tegen aan,ergens tegen aan,,,Spatial,Location (c),,,
ergens tussendoor,ergens tussendoor,tussendoor,SYN,Spatial,,,,
ergens tussendoor glippen,ergens tussendoor glippen,tussendoor + glippen,MULT,Spatial +,,,,verb response
ertussenuit knijpen,ertussenuit knijpen,tussendoor + knijpen,SYN; MULT,Spatial + ,,,,verb response
eten,eten,,,,,,,grammatically/semantically ambiguous!
even snel ergens naar binnen gaan,even snel ergens naar binnen gaan,even snel + ergens naar binnen + gaan,SYN; MULT,Temporal + Spatial +,+ Destination (c) + ,,,verb response
feest,feest,,,Social,,,,
feestgelegenheid,feestgelegenheid,feest,SYN,Social,,,,
fiets,fiets,,,Other,Vehicle,,,
fietsen,fietsen,,,,,,,verb response
figuren,figuren,,,Other,Object,,,
fijne motoriek,fijne motoriek,,,Motor,Manner (c),,,
files ontwijken,files ontwijken,files + ontwijken, MULT,,,,,association?; verb response
flexibel,flexibel,,,Other,,,,
formatie,formatie,,,Other,State,,,
gaan,gaan,,,,,,,verb response
garde,garde,,,Other,Object,,,
gebruik van je handen,gebruik van je handen,met handen,SYN,Motor,,,,
gebukt en zachtjes lopen,gebukt en zachtjes lopen,gebukt + zachtjes + lopen,SYN; MULT,Motor/Somatic + Audition + ,Manner (c)/  + Lacking sound (c)  +,,,verb response
geconcentreerd,geconcentreerd,,,Cognition,,,,
geen,geen,geen,N/A,N/A,,N/A,N/A,"participant entered words for the sentence ""I don't know what this means"" in separate feature boxes"
geen aanvaring,geen aanvaring,,,Spatial/Drive,Lacking obstacle (c),,,
geen bel,geen bel,,,Other,Object > Lacking (c),,,
geen bestemming,geen bestemming,,,Spatial,Lacking destination (c),,,
geen definitie,geen definitie,geen,N/A,N/A,,N/A,N/A,
geen doel,geen doel,doelloos,SYN,Drive,Lacking (c),,,
geen eindbestemming,geen eindbestemming,geen bestemming,SYN,Spatial,Lacking destination (c),,,
geen geheel,geen geheel,,,Other,State > Broken (c),,,
geen geheel meer,geen geheel meer,geen geheel,SYN,Other,State > Broken (c),,,
geen geluid,geen geluid,stil,SYN,Audition,Lacking sound (c),,,
geen grip,geen grip,,,,,,,
geen haast,geen haast,,,Drive,Lacking (c),,,
geen houvast,geen houvast,,,,,,,
geen idee,geen idee,geen,N/A,N/A,,N/A,N/A,
geen kennis,geen kennis,,,Cognition,Lacking (c),,,
geen lawaai,geen lawaai,stil,SYN,Audition,Lacking sound (c),,,
geen orientatie,geen orientatie,,,Cognition,Lacking (c),,,
geen rechte lijn,geen rechte lijn,kronkelend,SYN,Spatial,,,,
geen stress,geen stress,,,Cognition/Drive,Lacking (c)/Lacking (c),,,
geen tijd,geen tijd,,,,,,,semantically ambiguous!
geen uitstel,geen uitstel,,,Drive,,,,
geen zin in hebben,geen zin in hebben,,,Drive,Lacking (c),,,
geheel vormen,geheel vormen,,,Other,State,,,
geheim,geheim,,,Cognition,,,,
gelederen,gelederen,leger,SYN,Other,Person-Profession,,,"Van Dale: ""leger"""
gelijkmatig tempo,gelijkmatig tempo,op de maat,SYN,Temporal,Tempo (c),,,
geluid,geluid,,,Audition,,,,
geluidmaken,geluid maken,geluid,SYN,Audition,,,,verb response
gemoedelijk,gemoedelijk,,,Drive,Lacking (c),,,
genieten,genieten,,,Emotion,,,,
gereedschap,gereedschap,,,Other,Object,,,
geruisloos,geruisloos,stil,SYN,Audition,Lacking sound (c),,,
geslacht,geslacht,,,,,,,?
gespannen,gespannen,,,Cognition,,,,semantically ambiguous!
gevaar,gevaar,,,Drive,,,,semantically ambiguous!
gevaarlijk,gevaarlijk,gevaar,SYN,Drive,,,,
gevolg kan pijn doen,gevolg kan pijn doen,gevolg + pijn,SYN; MULT,Causal + Somatic,,,,
geweer,geweer,,,Other,Object,,,
gezellig,gezellig,,,Emotion,,,,
gilletje,gilletje,,,Audition,,,,
glad,glad,,,Somatic,,,,
glas,glas,,,Other,Object,,,
glijden,glijden,,,,,,,verb response
glippen,glippen,,,,,,,verb response
golflijn,golflijn,kronkelend,SYN,Spatial,,,,
gooien,gooien,,,,,,,verb response
groente,groente,,,Other,Object,,,
groente snijden,groente snijden,groente + snijden,MULT,Other +,Object +,,,verb response
groep,groep,,,Other,Person-Profession,,,semantically ambiguous!
grond,grond,,,,,,,semantically ambiguous!
grote beweging,grote beweging,grote + beweging,MULT,Other + Motor,Adjective + Motion (c),,,
grote mond,grote mond,,,,,,,association?
grote stappen,grote stappen,grote + stappen,MULT,Other + Motor,Adjective + Manner (c),,,
haar,haar,,,Other,Object,,,
haast,haast,,,Drive,,,,
haasten,haasten,haast,SYN,,,,,verb response
haastig,haastig,haast,SYN,Cognition/Drive,,,,
hakbeweging,hakbeweging,,,Spatial/Motor,,,,
hakken,hakken,,,Motor,,,,verb response
hand,hand,met handen,SYN,Motor,,,,
handbeweging,handbeweging,met handen,,Motor,,,,
handeling,handeling,actie,SYN,Motor,Motion (c),,,
handen,handen,met handen,SYN,Motor,,,,
handmatig,handmatig,,,Motor,,,,
hangen,hangen,,,,,,,verb response
hangerig,hangerig,,,Other/Motor,State/Manner (c),,,
hardcore,hardcore,,,,,,,association?
harde muziek,harde muziek,hard + muziek,SYN; MULT,Audition + Audition,,,,
harde stappen,harde stappen,hard + stappen,SYN; MULT,Audition + Motor,+ Manner (c),,,
hardloopschoen,hardloopschoen,hardloopschoenen,SYN,Other,Object,,,association?
hardloopschoenen,hardloopschoenen,,,Other,Object,,,association?
hardop,hardop,,,Audition,,,,
harmonie,harmonie,,,Temporal,Tempo (c),,,potentially semantically ambiguous!
hartkloppingen,hartkloppingen,hartslag,SYN,Somatic,,,,association?
hartslag,hartslag,,,Somatic,,,,association?
heeft aanzet nodig,heeft aanzet nodig,,,,,,,
heen en weer,heen en weer,,,Spatial,,,,
heen en weer lopen,heen en weer lopen,heen en weer + lopen,MULT,Spatial +,,,,verb response
heet,heet,,,Somatic,,,,
heffen,heffen,,,,,,,verb response
helling,helling,,,Spatial,Location (c),,,
heuvel,heuvel,,,Spatial,Location (c),,,
hierarchie,hierarchie,,,Other,Person-Profession,,,
hoger geraken,hoger geraken,naar boven,SYN,Spatial,,,,
hoog,hoog,hoogte,SYN,Spatial,Location (c),,,
hoog tempo,hoog tempo,snel,SYN,Temporal,Tempo (c),,,
hoogste woord voeren,hoogste woord voeren,,,,,,,association?; verb response
hoogte,hoogte,,,Spatial,Location (c),,,
hoogtes,hoogtes,hoogte,SYN,Spatial,Location (c),,,
hoogteverschil,hoogteverschil,,,Spatial,,,,
horizontaal,horizontaal,,,Spatial,,,,
hout,hout,,,Other,Object,,,
houten deur,houten deur,hout + deur,SYN; MULT,Other + Other,Adjective + Object,,,
houthakker,houthakker,,,Other,Person-Profession,,,
huizen,huizen,huis,SYN,Other,Object,,,
hulp,hulp,,,Other,,,,association?
hulp bieden,hulp bieden,hulp + bieden,MULT,,,,,association?; verb response
hulpdiensten,hulpdiensten,,,,,,,
idee,idee,geen,N/A,N/A,,N/A,N/A,"participant entered words for the sentence ""I don't know what this means"" in separate feature boxes"
iets delen,iets delen,iets + delen,MULT,Other +,Object +,,,verb response
iets halen,iets halen,iets + halen,MULT,Other +,Object +,,,verb response
iets open maken,iets open maken,iets + open maken,MULT,Other +,Object +,,,verb response
iets platter maken,iets platter maken,iets + plat + maken,MULT,Other + Other +,Object + Adjective + ,,,verb response
ijs,ijs,,,Other,Object,,,
ijsberen,ijsberen,,,,,,,verb response
ik,ik,geen,N/A,N/A,,N/A,N/A,"participant entered words for the sentence ""I don't know what this means"" in separate feature boxes"
ik moet 5 vakjes vullen,ik moet 5 vakjes vullen,geen,N/A,N/A,,N/A,N/A,
ik weet niet of ik dit mag opzoeken?,ik weet niet of ik dit mag opzoeken?,geen,N/A,N/A,,N/A,N/A,
ik weet niet wat dit betekend,ik weet niet wat dit betekend,geen,N/A,N/A,,N/A,N/A,
ik weet niet wat dit betekent.,ik weet niet wat dit betekent.,geen,N/A,N/A,,N/A,N/A,
in de buitenlucht,in de buitenlucht,buiten,SYN,Spatial,,,,
in de maat,in de maat,op de maat,SYN,Temporal,Tempo (c),,,
in de weg,in de weg,,,Spatial,,,,
in duo,in duo,duo,SYN,Other,Person-Profession,,,
in een boom,in een boom,boom,SYN,Spatial/Other,Location (c)/Object,,,
in een doolhof,in een doolhof,doolhof,SYN,Spatial,Location (c),,,
in een groep,in een groep,,,Other,Person-Profession,,,
in gelijk tempo,in gelijk tempo,op de maat,SYN,Temporal,Tempo (c),,,
in het bos,in het bos,,,Spatial,Location (c),,,
in het donker,in het donker,,,Vision,,,,
in papier,in papier,papier,SYN,Other,Object,,,
in papier/ haar,in papier/ haar,papier + haar,SYN; MULT,Other + Other,Object + Object,,,
in plaats van bellen,in plaats van bellen,,,,,,,verb response
in stilte,in stilte,stil,SYN,Audition,Lacking sound (c),,,
in stof,in stof,,,Other,Object,,,
in stukjes,in stukjes,stukken,SYN,Causal/Other, /Object,,,
in stukken,in stukken,stukken,SYN,Causal/Other, /Object,,,
inbreker,inbreker,dief,SYN,Other,Person-Profession,,,
ingredienten mixen,ingredienten mixen,ingrediënten + mixen,MULT,Other +,Object +,,,verb response
innig dansen,innig dansen,intiem + dansen,SYN; MULT,Other +,Adjective + ,,,verb response
inspannend,inspannend,inspanning,SYN,Motor/Somatic,Manner (c)/,,,
inspanning,inspanning,,,Motor/Somatic,Manner (c)/,,,
intensief,intensief,inspanning,SYN,Motor/Somatic,Manner (c)/,,,
intiem,intiem,,,Social,,,,
is,is,geen,N/A,N/A,,N/A,N/A,"participant entered words for the sentence ""I don't know what this means"" in separate feature boxes"
is?,is?,geen,N/A,N/A,,N/A,N/A,"participant entered words for the sentence ""I don't know what this means"" in separate feature boxes"
jarig,jarig,,,,,,,association?
joggen,joggen,,,,,,,verb response
kan in boom,kan in boom,boom,SYN,Spatial/Other,Location (c)/Object,,,
kans,kans,,,,,,,?
kapot,kapot,,,Other,State > Broken (c),,,
kapot maken,kapot maken,kapot + maken,MULT,Other +,State > Broken (c) +,,,verb response
kapotmaken,kapot maken,kapot + maken,SYN; MULT,Other +,State > Broken (c) +,,,verb response
kapper,kapper,,,Other,Person-Profession,,,
kartels,kartels,,,Other,,,,
kelder,kelder,,,Spatial,Location (c),,,
ken,ken,geen,N/A,N/A,,N/A,N/A,"participant entered words for the sentence ""I don't know what this means"" in separate feature boxes"
ken ik niet,ken ik niet,geen,N/A,N/A,,N/A,N/A,
keuken,keuken,,,Spatial,Location (c),,,
keuvelen,keuvelen,,,,,,,verb response
kilometers,kilometers,,,Spatial,,,,
kisten,kisten,,,,,,,verb response?; grammatically/semantically ambiguous!
klassieke dansstijl,klassieke dansstijl,klassieke + dansstijl,MULT,Other + Other,Adjective + Object,,,
klauteren,klauteren,,,,,,,verb response
kleine stapjes,kleine stapjes,klein + stappen,SYN; MULT,Other + Motor,Adjective + Manner (c),,,
kleine stappen,kleine stappen,klein + stappen,SYN; MULT,Other + Motor,Adjective + Manner (c),,,
kleinere stukjes,kleinere stukjes,klein + stukken,SYN; MULT,Other + Causal/Other,Adjective + /Object,,,
kleinere stukken,kleinere stukken,klein + stukken,SYN; MULT,Other + Causal/Other,Adjective + /Object,,,
kletsen,kletsen,,,,,,,verb response
kleuters,kleuters,,,Other,Person-Profession,,,
klimwand,klimwand,,,Spatial/Other,/Object,,,
klok,klok,,,Other,Object,,,
knie,knie,,,Motor/Somatic,,,,
knokkels,knokkels,,,Motor/Somatic,,,,
knuffelen,knuffelen,,,,,,,verb response
knutselen,knutselen,,,,,,,verb response
koers,koers,,,Spatial,,,,
koken,koken,,,,,,,verb response
koorts,koorts,,,Somatic,,,,
kortwieken,kortwieken,,,,,,,verb response
kracht,kracht,,,Somatic/Motor,,,,
krap,krap,,,Spatial,Space (c),,,
kronkelende beweging,kronkelende beweging,kronkelend + actie,SYN; MULT,Spatial + Motor,+ Motion (c),,,
kronkelende lijn,kronkelende lijn,kronkelend,SYN; MULT,Spatial,,,,
kuiten,kuiten,,,Motor,,,,
laag,laag,,,Spatial,,,,
lagere hoogte,lagere hoogte,,,Spatial,,,,
langzaam,langzaam,,,Temporal,Speed (c),,,
langzaam lopen,langzaam lopen,langzaam + lopen,SYN; MULT,Temporal + ,Speed (c) +,,,verb response
langzaam voortbewegen,langzaam voortbewegen,langzaam + lopen,SYN; MULT,Temporal + ,Speed (c) +,,,
last,last,,,,,,,semantically ambiguous!
laten gaan,laten gaan,,,,,,,verb response
leger,leger,,,Other,Person-Profession,,,
lengte,lengte,,,Spatial,,,,
leuk,leuk,,,Other/Emotion,Adjective/,,,association?
liaan,liaan,,,Other,Object,,,
lichamelijk,lichamelijk,,,Somatic/Motor,,,,
lift,lift,,,Other,Object/Vehicle,,,
links,links,,,Spatial,,,,
lintjes,lintjes,,,Other,Object,,,
lomp,lomp,,,,,,,semantically ambiguous
loopband,loopband,,,Other,Object,,,
lopen,lopen,,,,,,,verb response
lopen op de maat,lopen op de maat,lopen + op de maat,SYN; MULT,+ Temporal,+ Tempo (c),,,verb response
lopen zonder richting,lopen zonder richting,lopen + zonder richting,MULT,+ Drive,Lacking (c),,,
lopend,lopend,lopen,SYN,,,,,verb response
loshangen,loshangen,,,,,,,verb response
luchtig maken,luchtig maken,luchtig + maken,MULT,,,,,verb response
lui,lui,,,Cognition/Drive/Attention,Lacking (c),,,
luide muziek,luide muziek,luid + muziek,SYN; MULT,Audition + Audition,,,,
maakt kleiner/korter,maakt kleiner/korter,klein + kort + maken,SYN; MULT,Other + Other + ,Adjective + Adjective +,,,verb response
maat,maat,op de maat,SYN,Temporal,Tempo (c),,,
machine,machine,,,Other,Object,,,
man-vrouw,man-vrouw,duo,,Other,Person-Profession,,,
manier van dansen,manier van dansen,manier + dansen,MULT,,,,,verb response
manier van lopen,manier van lopen,manier + lopen,MULT,Motor,Manner (c),,,verb response
mannenberoep,mannenberoep,,,Other,Person-Profession,,,
marathon,marathon,,,Spatial,Distance (c),,,
marechaussee,marechaussee,,,Other,Person-Profession,,,
mars,mars,,,Motor/Temporal,Manner (c)/Tempo (c),,,
meenemen,meenemen,,,,,,,verb response
meer dan gebruikelijk,meer dan gebruikelijk,,,Other,,,,
meer delen maken,meer delen maken,stukken + maken,SYN; MULT,Causal/Other +, /Object +,,,verb response
meerdere zijn juist,meerdere zijn juist,,,,,,,?
mengen,mengen,,,,,,,verb response
mens,mens,door mens,SYN,Other,Person-Profession,,,
menselijk,menselijk,door mens,SYN,Other,Person-Profession,,,
menselijk en dierlijk,menselijk en dierlijk,door mens + door dier,SYN; MULT,Other + Other,Person-Profession + Animal,,,
menselijk en levenloze objecten,menselijk en levenloze objecten,door mens + door object,SYN; MULT,Other + Other,Person-Profession + Object,,,
mes,mes,,,Other,Object,,,
mes of tanden,mes of tanden,mes + tanden,MULT,Other + Other,Object + Object,,,
met armen,met armen,armen,SYN,Motor/Somatic,,,,
met beleid,met beleid,,,Cognition,,,,
met bijl,met bijl,,,Other,Object,,,
met de hand op iets hards slaan,met de hand op iets hards slaan,met handen + iets hards + slaan,SYN; MULT,Motor/Somatic + Other +,+ Object + ,,,verb response
met de handen,met de handen,met handen,SYN,Motor/Somatic,,,,
met een bijl,met een bijl,,,Other,Object,,,
met een mes,met een mes,mes,SYN,Other,Object,,,
met een pak,met een pak,,,Other,Object,,,
met een rugzak,met een rugzak,,,Other,Object,,,
met een touw,met een touw,touw,SYN,Other,Object,,,
met een vliegtuig,met een vliegtuig,,,Other,Vehicle,,,
met een voertuig,met een voertuig,,,Other,Vehicle,,,
met handen,met handen,,,Motor/Somatic,,,,
met handen en voeten,met handen en voeten,met handen + met voeten,SYN; MULT,Motor/Somatic + Motor/Somatic,,,,
met hoge snelheid bewegen,met hoge snelheid bewegen,snel + actie,SYN; MULT,Temporal + ,Speed (c) +,,,verb response
met je hand,met je hand,met handen,,Motor/Somatic,,,,
met je vrienden,met je vrienden,,,Other,Person-Profession,,,
met je vuist,met je vuist,vuist,,Motor/Somatic,,,,
met knokkels,met knokkels,vuist,,Motor/Somatic,,,,
met mes,met mes,mes,,Other,Object,,,
met plezier,met plezier,,,Emotion,,,,
met schaar,met schaar,,,Other,Object,,,
met z'n allen tegelijk,met z'n allen tegelijk,,,Other,Person-Profession,,,
metaal,metaal,,,Other,Adjective,,,
mij,mij,geen,N/A,N/A,,N/A,N/A,"participant entered words for the sentence ""I don't know what this means"" in separate feature boxes"
militair,militair,soldaat,SYN,Other,Person-Profession,,,
modder,modder,,,Other,Object,,,
moe,moe,,,Attention/Emotion,Lacking (c)/,,,
moed,moed,,,Drive,,,,
moeite,moeite,,,Attention/Drive,,,,
muur/deur,muur/deur,muur + deur,MULT,Other + Other,Object + Object,,,
muziek,muziek,,,Audition,,,,
muziekcorps,muziekcorps,,,Other,Person-Profession,,,
naar beneden,naar beneden,,,Spatial,,,,
naar beneden gaan,naar beneden gaan,naar beneden + gaan,SYN; MULT,Spatial +,,,,verb response
naar bestemming gaan,naar bestemming gaan,naar bestemming + gaan,MULT,Spatial,Destination (c),,,verb response
naar binnen,naar binnen,binnen,SYN,Spatial,,,,
naar boven bewegen,naar boven bewegen,naar boven + bewegen,SYN; MULT,Spatial +,,,,verb response
naar grond,naar grond,naar beneden,SYN,Spatial,,,,
naar links,naar links,,,Spatial,,,,
naar rechts,naar rechts,,,Spatial,,,,
naar werk,naar werk,,,Spatial,Destination (c)/Location (c),,,
naar winkel,naar winkel,,,Spatial,Destination (c)/Location (c),,,
nat terrein,nat terrein,,,,,,,
natuur,natuur,,,Other/Spatial,Object/Location(c),,,
negatief,negatief,,,Emotion,,,,
nep,nep,geen,N/A,N/A,,N/A,N/A,"participant entered words for the sentence ""I don't know what this means"" in separate feature boxes"
net,net,,,Temporal,,,,
niemand hoort je,niemand hoort je,stil,SYN,Audition,Lacking sound (c),,,
niet,niet,geen,N/A,N/A,,N/A,N/A,"participant entered words for the sentence ""I don't know what this means"" in separate feature boxes"
niet aangaan,niet aangaan,,,Social,Lacking (c),,,?
niet actief,niet actief,,,Motor,Lacking (c),,,
niet dapper,niet dapper,,,Emotion/Cognition,,,,
niet hoorbaar willen zijn,niet hoorbaar willen zijn,stil + willen zijn,SYN; MULT,Audition +,Lacking sound (c),,,verb response
niet in een lijn doorkunnen,niet in een lijn doorkunnen,kronkelend + gaan,SYN; MULT,Spatial +,,,,verb response
niet in een rechte lijn bewegen,niet in een rechte lijn bewegen,kronkelend + bewegen,SYN; MULT,Spatial +,,,,verb response
niet op de grond staan,niet op de grond staan,niet op de grond + staan,MULT,Spatial +,,,,verb response
niet op ingaan,niet op ingaan,,,Social,Lacking (c),,,verb response
niet rennen,niet rennen,,,,,,,verb response
niet scheef,niet scheef,,,Spatial,,,,
niet snel,niet snel,langzaam,SYN,Temporal,Speed (c),,,
niet te laat komen,niet te laat komen,niet te laat + komen,MULT,Drive +,,,,verb response
niet willen zien,niet willen zien,,,Drive,,,,verb response
noodzakelijk,noodzakelijk,,,Drive,,,,
normaal,normaal,,,,,,,
obstakel,obstakel,,,Drive,Obstacle (c),,,
